n,m,r,c
25000,133735.0,100,0.5282507030364774
25100,133477.0,100,0.524924153160353
25200,134978.0,100,0.5285132343886254
25300,135320.0,100,0.5275519178655466
25400,135752.0,100,0.5269474570010687
25500,135436.0,100,0.5234564012349152
25600,140089.0,100,0.5391171575320598
25700,134982.0,100,0.5172435017548376
25800,135538.0,100,0.5171631955084495
25900,137377.0,100,0.5219575072587946
26000,137540.0,100,0.5203695760301988
26100,139956.0,100,0.5272823987488683
26200,138799.0,100,0.520731715369037
26300,140478.0,100,0.5248303686502178
26400,142616.0,100,0.530601897365697
26500,141486.0,100,0.5242166671587847
26600,141926.0,100,0.5236763724196265
26700,142761.0,100,0.5245912686886978
26800,140025.0,100,0.5124296681109187
26900,146431.0,100,0.5336857652227234
27000,146647.0,100,0.5322998306080936
27100,143285.0,100,0.5179895826537567
27200,146538.0,100,0.5276115082364585
27300,145044.0,100,0.520132476768108
27400,144102.0,100,0.5146842389809505
27500,152420.0,100,0.5422204355065344
27600,146953.0,100,0.5206930772910827
27700,148986.0,100,0.525804796874819
27800,149572.0,100,0.525788869548536
27900,152236.0,100,0.5330484415642412
28000,152790.0,100,0.5328913224897301
28100,154783.0,100,0.5377340215155417
28200,153468.0,100,0.531090722078437
28300,153545.0,100,0.529296756506707
28400,153880.0,100,0.528401945109569
28500,151775.0,100,0.5191670347340266
28600,156574.0,100,0.5335278193949609
28700,158951.0,100,0.539556738267629
28800,152799.0,100,0.5166978299990835
28900,156261.0,100,0.5263986781777319
29000,157551.0,100,0.5287363581779408
29100,157830.0,100,0.5276757109320286
29200,157354.0,100,0.5241077081092295
29300,159758.0,100,0.530122483639988
29400,158910.0,100,0.5253409855750879
29500,162521.0,100,0.5352806582476562
29600,161454.0,100,0.529795670314019
29700,161372.0,100,0.5275708519267898
29800,160721.0,100,0.523508455918372
29900,160959.0,100,0.5223603632785179
